Species,Museum,Catalog,ID,TL,SVL,TAL,HL,HW,HH,HE,HP,HN,MBW,MBH,CW,CH,Ven,SC,MID,PO,SO,SL,IL,IOS,Longitude,Latitude,Stage
P_yucatanicum,FMNH,20626,P_yucatanicum_20626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-89.039012,20.803483,juvenile
P_yucatanicum,FMNH,36170,P_yucatanicum_36170,5.700443573,5.549076085,3.978021937,3.026744601,2.63744221,2.251404144,2.635074657,2.778676351,2.937777473,2.331585569,2.129226837,1.71736654,1.656885139,150,43,25,2,1,9,11,8,-88.72955,20.712064,juvenile
P_yucatanicum,FMNH,36171,P_yucatanicum_36171,6.29710932,6.17586727,3.799537749,3.018210378,2.935040086,1.959174486,2.532146368,2.72600698,2.88277407,2.659954678,2.628087241,1.649586304,1.766859161,148,34,25,2,1,9,12,6,-89.042188,20.802801,NA
P_yucatanicum,FMNH,36172,P_yucatanicum_36172,6.357842267,6.242223265,3.757728146,3.025920373,2.856087614,2.221067933,2.653634363,2.832163626,2.980195221,2.474944578,1.97195613,1.433004368,1.523939872,153,33,27,2,3,10,13,8,-88.738326,20.70813,juvenile
P_yucatanicum,FMNH,36173,P_yucatanicum_36173,6.342121419,6.22059017,3.803944912,3.053866985,2.776559339,1.93463835,2.601147885,2.813230131,2.961377024,2.398106058,1.993659606,1.586130369,1.713766119,155,36,27,2,1,10,12,8,-88.817036,20.707842,NA
P_yucatanicum,FMNH,36174,P_yucatanicum_36174,5.937536205,5.777652323,4.040022355,NA,NA,NA,NA,NA,NA,2.539560485,2.344153668,1.70148702,1.899489709,135,39,25,NA,NA,NA,NA,NA,-88.727897,20.708612,juvenile
P_yucatanicum,FMNH,36175,P_yucatanicum_36175,5.768320996,5.624017506,3.936941869,3.06925331,2.56846592,2.112686504,2.670334131,2.833351031,2.99278343,2.083340439,2.227794655,1.456104665,1.633667423,149,41,25,2,1,9,11,8,-88.568788,20.678651,NA
P_yucatanicum,FMNH,36176,P_yucatanicum_36176,6.079933195,5.929589143,3.990000932,3.003384399,2.596485294,2.386560159,2.497182658,2.751332383,2.862874985,2.428107917,2.319996736,1.741317373,1.668422991,NA,42,25,2,1,9,11,6,-88.56794,20.679695,NA
P_yucatanicum,FMNH,36177,P_yucatanicum_36177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,39,23,3,1,9,11,7,-88.568541,20.67831,juvenile
P_yucatanicum,FMNH,36178,P_yucatanicum_36178,6.008813185,5.857933154,3.989875426,3.008336998,2.534573621,2.115194318,2.620093578,2.816476186,2.943628944,2.218058145,2.111418961,1.668077825,2.244049203,145,40,25,2,2,9,11,8,-88.568434,20.678099,adult
